plot,section
anscombe,1 Introduction
barplot,2 Direct Comparisons
dotplot,2 Direct Comparisons
histogram,3 Distributions
histogram2,3 Distributions
boxplot,3 Distributions
linechart,4 Trends Over Time
linets,4 Trends Over Time
monthplot,4 Trends Over Time
scatterplot,5 Relationships
scatterplotlabel,5 Relationships
colorscatterplot,5 Relationships
splomall,5 Relationships
splomall2,5 Relationships
parallel,5 Relationships
parallel2,5 Relationships
pie,6 Percents
barpercent,6 Percents
barpercentplot,6 Percents
pie2by2,6 Percents
horizdividedbarchart,6 Percents
groupedbarchart,6 Percents
panelpercent,6 Percents
living,6 Percents
themetextgg,6 Percents
likert,7 Special Cases
likertliving,7 Special Cases
micromap,7 Special Cases
graphpaper,8 Conclusion
